picks choicecount closurecount choicesize closuresize
713 688 2529 51564630322 141209580241
714 689 2530 51580946059 141209898969
715 690 2531 51875528649 141218258607
716 691 2533 51934956164 141224950268
717 692 2533 51968472381 141228786980
718 693 2536 52170928430 141501092715
719 694 2538 52171581767 141501664109
720 695 2541 52231234692 141834558288
721 696 2546 52253133235 141864481553
722 697 2548 52400013785 142027976687
723 698 2550 52400516100 142215364384
724 699 2550 52551085924 142318367545
725 700 2552 52563530296 142359475996
726 701 2553 52608162310 142369496820
727 702 2555 52609584792 142520430386
728 703 2555 52626526054 142860929891
729 704 2558 52629322221 142860977290
730 705 2561 52677109116 143118026285
731 706 2565 52848032137 143379922939
732 706 2567 52885849865 143751362981
733 707 2569 52886348761 143756293460
734 708 2570 52908026116 143756329002
735 709 2571 52908133056 143757453410
736 710 2571 52917153508 143807638721
737 711 2575 52917320569 144434721066
738 712 2576 52925646930 144638580653
739 713 2578 52962456705 144703399878
740 714 2579 53050767400 144987083055
741 715 2579 53189752653 145095148863
742 716 2581 53242239353 145113898635
743 717 2581 53245029401 145429757934
744 718 2583 53455578445 145702342780
745 718 2585 53789799568 145806866659
746 719 2586 53826988289 145806866659
747 720 2593 53827145098 145865911069
748 721 2597 53867388657 145868949878
749 722 2598 54224810643 145947764306
750 723 2601 54285958877 145982904298
751 724 2601 54370291434 146161260936
752 725 2602 54459119322 146373951527
753 726 2605 54505216849 146375093878
754 727 2607 54515621451 146888250960
755 728 2609 55062781708 147034181402
756 728 2610 55074171887 147036323303
757 729 2611 55078508870 147488324757
758 730 2611 55092721756 147495188066
759 730 2613 55131678227 147577481398
760 731 2616 55308610270 147833213095
761 732 2621 55388107872 147844326809
762 733 2622 55417726046 147969090797
763 734 2623 55474445666 148584177270
764 735 2627 55475007644 148792565364
765 736 2628 55479674863 148975070369
766 737 2631 55665722834 149027261003
767 738 2633 55669041416 149056587234
768 739 2635 55802225729 149243207022
769 740 2636 55816827415 149393267006
770 741 2638 56116651091 149599074308
771 742 2639 56362754545 149824101964
772 743 2642 56371499055 149841496149
773 744 2643 56484151031 149918768236
774 745 2644 56491181739 149968727529
775 746 2645 56491476745 149969590847
776 747 2648 56651437210 150006591593
777 748 2648 56662283464 150072707761
778 749 2652 56671632892 150116494400
779 749 2653 56681455855 150372460726
780 750 2656 56690352123 150397940037
781 751 2657 56768906147 150454668786
782 752 2660 56783829341 150458220263
783 753 2661 56806507063 150458220263
784 754 2663 56975835289 150678831833
785 755 2665 56979577058 150731407905
786 756 2666 57030026662 150828339476
787 757 2668 57031823274 150991544111
788 758 2669 57068862110 151059354184
789 759 2669 57112931218 151152912842
790 760 2670 57303563553 151565283819
791 760 2671 57303609410 151567929533
792 761 2674 57318550253 151582170081
793 762 2679 57318817176 151631463673
794 763 2679 57418224378 152003339323
795 764 2680 57488124826 152270248067
796 765 2682 57543125835 152309189145
797 766 2683 57782098536 152675120489
798 766 2685 57786196381 152689950244
799 767 2686 57786242792 153095288862
800 768 2688 57786420099 153096118769
801 769 2689 58108531536 153603223986
802 770 2690 58118795812 153811355332
803 771 2691 58231274036 153812385505
804 772 2693 58275553046 153896115603
805 773 2695 58276829351 153917083708
806 774 2696 58320232755 154122846640
807 775 2698 58418563756 154123727346
808 776 2700 58504142526 154134032947
809 777 2701 58540651511 154167912590
810 778 2704 58622382555 154297183648
811 779 2705 58707546390 154303196491
812 780 2705 58765323561 154548454323
813 781 2707 58818069650 154724050838
814 782 2710 58903820210 154918493047
815 783 2711 58940835760 155133673594
816 784 2712 58950213242 155189232787
817 785 2713 59049179935 155256274688
818 786 2713 59062233521 155430883699
819 786 2716 59089236677 155581749095
820 787 2717 59139148672 155628009304
821 788 2720 59200625333 155634727243
822 789 2720 59258531851 155812466877
823 790 2724 59278680268 155820398558
824 791 2725 59335561854 155821125314
825 792 2726 59418869858 155823815690
826 793 2727 59459872677 155983514642
